Type,Meg,Elapsed,Converged,atol,n_states
KLDiv Meg,2.371687412261963,6.665419340133667,True,0.001,10
Matt Meg,2.378269672393799,3.955332040786743,True,0.001,10
KLDiv Meg,2.3723011016845703,6.489042520523071,True,0.001,10
Matt Meg,2.3781557083129883,3.4035515785217285,True,0.001,10
KLDiv Meg,2.3689303398132324,6.535262107849121,True,0.001,10
Matt Meg,2.3780150413513184,4.423501491546631,True,0.001,10
KLDiv Meg,4.205951690673828,8.96841835975647,True,0.001,20
Matt Meg,4.239995956420898,6.706719875335693,True,0.001,20
KLDiv Meg,4.212484836578369,10.908341646194458,False,0.001,20
Matt Meg,4.239961624145508,6.57837700843811,True,0.001,20
KLDiv Meg,4.215912818908691,10.934580087661743,False,0.001,20
Matt Meg,4.239826202392578,7.338223934173584,True,0.001,20
KLDiv Meg,5.9927825927734375,10.574726104736328,False,0.001,50
Matt Meg,6.370441913604736,37.2474946975708,True,0.001,50
KLDiv Meg,5.9617414474487305,12.672581672668457,False,0.001,50
Matt Meg,6.370400428771973,38.382237672805786,True,0.001,50
KLDiv Meg,5.95909309387207,11.98098373413086,False,0.001,50
Matt Meg,6.370380401611328,35.4245445728302,True,0.001,50
KLDiv Meg,5.151059627532959,13.091970205307007,False,0.001,100
Matt Meg,6.882274150848389,161.08539199829102,True,0.001,100
KLDiv Meg,5.169801712036133,12.537593841552734,False,0.001,100
Matt Meg,6.881704330444336,158.6766107082367,True,0.001,100
KLDiv Meg,5.1863484382629395,10.89824104309082,False,0.001,100
Matt Meg,6.881861209869385,152.6023497581482,True,0.001,100
KLDiv Meg,-0.33873629570007324,11.27503490447998,False,0.001,200
Matt Meg,-0.007771709468215704,2.856415271759033,True,0.001,200
KLDiv Meg,-0.34266960620880127,11.469887018203735,False,0.001,200
Matt Meg,-0.01649664156138897,3.3611671924591064,True,0.001,200
KLDiv Meg,-0.3474004864692688,11.425584077835083,False,0.001,200
Matt Meg,-0.008036165498197079,2.825481414794922,True,0.001,200
KLDiv Meg,2.3802196979522705,10.663177490234375,False,0.0001,10
Matt Meg,2.381432056427002,17.678328275680542,True,0.0001,10
KLDiv Meg,2.380079746246338,11.873636722564697,False,0.0001,10
Matt Meg,2.3817691802978516,16.51516819000244,True,0.0001,10
KLDiv Meg,2.3794641494750977,11.838040113449097,False,0.0001,10
Matt Meg,2.3813962936401367,18.403429746627808,True,0.0001,10
KLDiv Meg,4.211911201477051,11.555837869644165,False,0.0001,20
Matt Meg,4.242554187774658,21.135878324508667,True,0.0001,20
KLDiv Meg,4.215936660766602,10.454339027404785,False,0.0001,20
Matt Meg,4.242422580718994,21.92421865463257,True,0.0001,20
KLDiv Meg,4.212965965270996,11.105688571929932,False,0.0001,20
Matt Meg,4.242445945739746,20.87064838409424,True,0.0001,20
KLDiv Meg,5.957334518432617,11.395930290222168,False,0.0001,50
Matt Meg,6.372047424316406,69.49714469909668,True,0.0001,50
KLDiv Meg,5.986129283905029,11.339781045913696,False,0.0001,50
Matt Meg,6.3720502853393555,68.98384070396423,True,0.0001,50
KLDiv Meg,5.961928844451904,12.374393939971924,False,0.0001,50
Matt Meg,6.371894836425781,70.65048027038574,True,0.0001,50
KLDiv Meg,5.151179313659668,12.025813102722168,False,0.0001,100
Matt Meg,6.882059574127197,174.87965869903564,False,0.0001,100
KLDiv Meg,5.238509178161621,10.607995748519897,False,0.0001,100
Matt Meg,6.881542682647705,177.282799243927,False,0.0001,100
KLDiv Meg,5.257157325744629,10.181803941726685,False,0.0001,100
Matt Meg,6.882513523101807,164.39724111557007,False,0.0001,100
KLDiv Meg,-0.354232519865036,12.488227128982544,False,0.0001,200
Matt Meg,0.003375367494300008,29.010273933410645,True,0.0001,200
KLDiv Meg,-0.33435988426208496,12.767893314361572,False,0.0001,200
Matt Meg,0.0030572423711419106,19.871612548828125,True,0.0001,200
KLDiv Meg,-0.34000131487846375,10.374284982681274,False,0.0001,200
Matt Meg,0.0033294835593551397,19.926539182662964,True,0.0001,200
